,Forecast,Forecast_added
2019-04-01 00:00:00+03:00,0.15745472670792782,28.447454726707928
2019-04-01 01:00:00+03:00,6.044501963806195,34.3345019638062
2019-04-01 02:00:00+03:00,1.3453120241788008,20.335312024178798
2019-04-01 03:00:00+03:00,2.3005833581090824,21.29058335810908
2019-04-01 04:00:00+03:00,-0.8581576574549347,18.131842342545063
2019-04-01 05:00:00+03:00,-2.081322049101392,16.908677950898607
2019-04-01 06:00:00+03:00,9.187406385830684,28.177406385830682
2019-04-01 07:00:00+03:00,24.542877939283144,34.67287793928315
2019-04-01 08:00:00+03:00,46.387306126785035,47.177306126785034
2019-04-01 09:00:00+03:00,49.584299400011645,52.75429940001165
2019-04-01 10:00:00+03:00,30.90269821112285,49.89269821112285
2019-04-01 11:00:00+03:00,30.0125259005881,49.0025259005881
2019-04-01 12:00:00+03:00,28.415074664779997,47.405074664779995
2019-04-01 13:00:00+03:00,26.530387011541496,45.520387011541494
2019-04-01 14:00:00+03:00,36.75335149077064,52.58335149077064
2019-04-01 15:00:00+03:00,34.028127449604995,41.93812744960499
2019-04-01 16:00:00+03:00,34.09383813137852,37.26383813137852
2019-04-01 17:00:00+03:00,24.65566739090123,43.645667390901224
2019-04-01 18:00:00+03:00,24.064673123675618,49.70467312367562
2019-04-01 19:00:00+03:00,-0.5325281198414058,47.12747188015859
2019-04-01 20:00:00+03:00,-1.2886178353462798,46.79138216465372
2019-04-01 21:00:00+03:00,-0.8394842347361238,46.940515765263875
2019-04-01 22:00:00+03:00,1.7294920620063332,49.31949206200634
2019-04-01 23:00:00+03:00,0.35178188031517255,38.65178188031517
2019-04-02 00:00:00+03:00,17.335080446982214,41.07508044698221
2019-04-02 01:00:00+03:00,35.439260512087735,48.09926051208774
2019-04-02 02:00:00+03:00,12.832129038994026,46.64212903899403
2019-04-02 03:00:00+03:00,10.404756315796373,37.30475631579637
2019-04-02 04:00:00+03:00,8.618608831867308,35.518608831867304
2019-04-02 05:00:00+03:00,16.947486936594906,43.85748693659491
2019-04-02 06:00:00+03:00,-1.2024772522452265,41.52752274775477
2019-04-02 07:00:00+03:00,-1.1290726797813777,46.51092732021862
2019-04-02 08:00:00+03:00,1.3386567873818354,50.17865678738184
2019-04-02 09:00:00+03:00,3.1404005819414325,52.06040058194144
2019-04-02 10:00:00+03:00,-0.9821949810554925,47.747805018944504
2019-04-02 11:00:00+03:00,-1.3872762983416949,47.212723701658305
2019-04-02 12:00:00+03:00,-3.1524624671197112,42.26753753288029
2019-04-02 13:00:00+03:00,-11.86853158044502,33.55146841955498
2019-04-02 14:00:00+03:00,-3.1222800738782954,42.627719926121706
2019-04-02 15:00:00+03:00,5.244895929879319,47.96489592987932
2019-04-02 16:00:00+03:00,0.0963307461564969,44.4063307461565
2019-04-02 17:00:00+03:00,0.3328481339761808,46.08284813397618
2019-04-02 18:00:00+03:00,0.6630154793514851,46.413015479351486
2019-04-02 19:00:00+03:00,0.15488111212004657,48.324881112120046
2019-04-02 20:00:00+03:00,0.2418249202949385,48.431824920294936
2019-04-02 21:00:00+03:00,0.215610249280184,47.90561024928018
2019-04-02 22:00:00+03:00,0.6710066154176477,46.421006615417646
2019-04-02 23:00:00+03:00,-9.517147445719372,35.90285255428063
2019-04-03 00:00:00+03:00,-6.710251278930841,33.56974872106916
2019-04-03 01:00:00+03:00,2.071496859519651,47.82149685951965
2019-04-03 02:00:00+03:00,-3.5636418878880525,42.18635811211195
2019-04-03 03:00:00+03:00,-10.871155385699513,26.79884461430049
2019-04-03 04:00:00+03:00,5.778232025888487,37.428232025888484
2019-04-03 05:00:00+03:00,7.505633622002556,47.78563362200256
2019-04-03 06:00:00+03:00,3.7084821419948213,43.98848214199482
2019-04-03 07:00:00+03:00,-1.5381849642203802,41.62181503577962
2019-04-03 08:00:00+03:00,-1.476057714911453,47.24394228508854
2019-04-03 09:00:00+03:00,-1.2181137618106401,47.55188623818936
2019-04-03 10:00:00+03:00,-1.549648050358328,46.68035194964167
2019-04-03 11:00:00+03:00,-0.9960974358070758,46.903902564192926
2019-04-03 12:00:00+03:00,3.9815272283525456,44.26152722835255
2019-04-03 13:00:00+03:00,13.05155353352098,44.70155353352098
2019-04-03 14:00:00+03:00,5.028463350255786,46.17846335025578
2019-04-03 15:00:00+03:00,4.612875541006518,44.89287554100652
2019-04-03 16:00:00+03:00,6.1325064527145265,46.082506452714526
2019-04-03 17:00:00+03:00,3.260453623573918,46.42045362357391
2019-04-03 18:00:00+03:00,1.3393421664660496,47.08934216646605
2019-04-03 19:00:00+03:00,0.9700004730624816,49.24000047306249
2019-04-03 20:00:00+03:00,1.0837851252592938,49.453785125259294
2019-04-03 21:00:00+03:00,0.9151197166836608,48.70511971668366
2019-04-03 22:00:00+03:00,1.0673914119651782,47.91739141196518
2019-04-03 23:00:00+03:00,7.786979673635612,47.346979673635616
2019-04-04 00:00:00+03:00,14.814721983142608,42.314721983142604
2019-04-04 01:00:00+03:00,-0.061782410473130225,42.85821758952687
2019-04-04 02:00:00+03:00,-6.959995265002175,36.600004734997825
2019-04-04 03:00:00+03:00,-0.026255512255566122,27.003744487744434
2019-04-04 04:00:00+03:00,-9.846567729352676,26.713432270647324
2019-04-04 05:00:00+03:00,-2.6013515307047737,43.178648469295226
2019-04-04 06:00:00+03:00,-19.403388095211948,26.376611904788053
2019-04-04 07:00:00+03:00,-11.310185654239293,30.019814345760707
2019-04-04 08:00:00+03:00,1.047272357164132,49.40727235716413
2019-04-04 09:00:00+03:00,3.0910628342551045,51.61106283425511
